STRING_id	gene_symbol	ensembl_id	entrezgene	uniprot_id
9606.ENSP00000357459	ADAR	ENSG00000160710	103	P55265
9606.ENSP00000353920	ADARB1	ENSG00000197381	104	P78563
9606.ENSP00000370713	ADARB2	ENSG00000185736	105	Q9NS39
9606.ENSP00000310015	ADAT1	ENSG00000065457	23536	Q9BUB4
9606.ENSP00000237283	ADAT2	ENSG00000189007	134637	Q7Z6V5
9606.ENSP00000332448	ADAT3	ENSG00000213638	113179	Q96EY9
9606.ENSP00000238561	ADCK1	ENSG00000063761	57143	Q86TW2
9606.ENSP00000072869	ADCK2	ENSG00000133597	90956	Q7Z695
9606.ENSP00000310547	ADCK5	ENSG00000173137	203054	Q3MIX3
9606.ENSP00000297323	ADCY1	ENSG00000164742	107	Q08828
9606.ENSP00000356825	ADCY10	ENSG00000143199	55811	Q96PN6
9606.ENSP00000342952	ADCY2	ENSG00000078295	108	Q08462
9606.ENSP00000260600	ADCY3	ENSG00000138031	109	O60266
9606.ENSP00000312126	ADCY4	ENSG00000129467	196883	Q8NFM4
9606.ENSP00000419361	ADCY5	ENSG00000173175	111	O95622
9606.ENSP00000311405	ADCY6	ENSG00000174233	112	O43306
9606.ENSP00000254235	ADCY7	ENSG00000121281	113	P51828
9606.ENSP00000286355	ADCY8	ENSG00000155897	114	P40145
9606.ENSP00000294016	ADCY9	ENSG00000162104	115	O60503
9606.ENSP00000411658	ADCYAP1	ENSG00000141433	116	P18509
9606.ENSP00000379514	ADCYAP1R1	ENSG00000078549	117	P41586
9606.ENSP00000264758	ADD1	ENSG00000087274	118	P35611
9606.ENSP00000264436	ADD2	ENSG00000075340	119	P35612
9606.ENSP00000348381	ADD3	ENSG00000148700	120	Q9UEY8
9606.ENSP00000381036	ADGB	ENSG00000118492	79747	Q8N7X0
9606.ENSP00000376384	ADGRA1	ENSG00000197177	84435	Q86SQ6
9606.ENSP00000406367	ADGRA2	ENSG00000020181	25960	Q96PE1
9606.ENSP00000334952	ADGRA3	ENSG00000152990	166647	Q8IWK6
9606.ENSP00000313046	ADGRB1	ENSG00000181790	575	O14514
9606.ENSP00000362762	ADGRB2	ENSG00000121753	576	O60241
9606.ENSP00000359630	ADGRB3	ENSG00000135298	577	O60242
9606.ENSP00000261654	ADGRD1	ENSG00000111452	283383	Q6QNK2
9606.ENSP00000335156	ADGRD2	ENSG00000180264	347088	Q7Z7M1
9606.ENSP00000311545	ADGRE1	ENSG00000174837	2015	Q14246
9606.ENSP00000472280	ADGRE2	ENSG00000127507	30817	Q9UHX3
9606.ENSP00000253673	ADGRE3	ENSG00000131355	84658	Q9BY15
9606.ENSP00000360299	ADGRF1	ENSG00000153292	266977	Q5T601
9606.ENSP00000296862	ADGRF2	ENSG00000164393	222611	Q8IZF7
9606.ENSP00000307831	ADGRF3	ENSG00000173567	165082	Q8IZF5
9606.ENSP00000283303	ADGRF4	ENSG00000153294	221393	Q8IZF3
9606.ENSP00000265417	ADGRF5	ENSG00000069122	221395	Q8IZF2
9606.ENSP00000369198	ADGRG2	ENSG00000173698	10149	Q8IZP9
9606.ENSP00000332900	ADGRG3	ENSG00000182885	222487	Q86Y34
9606.ENSP00000359686	ADGRG4	ENSG00000156920	139378	Q8IZF6
9606.ENSP00000290823	ADGRG5	ENSG00000159618	221188	Q8IZF4
9606.ENSP00000356581	ADGRG6	ENSG00000112414	57211	Q86SQ4
9606.ENSP00000273352	ADGRG7	ENSG00000144820	84873	Q96K78
9606.ENSP00000340688	ADGRL1	ENSG00000072071	22859	O94910
9606.ENSP00000322270	ADGRL2	ENSG00000117114	23266	O95490
9606.ENSP00000422533	ADGRL3	ENSG00000150471	23284	Q9HAR2
9606.ENSP00000359778	ADGRL4	ENSG00000162618	64123	Q9HBW9
9606.ENSP00000384582	ADGRV1	ENSG00000164199	84059	Q8WXG9
9606.ENSP00000209668	ADH1A	ENSG00000187758	124	P07327
9606.ENSP00000306606	ADH1B	ENSG00000196616	125	P00325
9606.ENSP00000265512	ADH4	ENSG00000198099	127	P08319
9606.ENSP00000296412	ADH5	ENSG00000197894	128	P11766
9606.ENSP00000378359	ADH6	ENSG00000172955	130	P28332
9606.ENSP00000420269	ADH7	ENSG00000196344	131	P40394
9606.ENSP00000379865	ADHFE1	ENSG00000147576	137872	Q8IWW8
9606.ENSP00000333666	ADI1	ENSG00000182551	55256	Q9BV57
9606.ENSP00000434385	ADIG	ENSG00000182035	149685	Q0VDE8
9606.ENSP00000320709	ADIPOQ	ENSG00000181092	9370	Q15848
9606.ENSP00000341785	ADIPOR1	ENSG00000159346	51094	Q96A54
9606.ENSP00000349616	ADIPOR2	ENSG00000006831	79602	Q86V24
9606.ENSP00000361083	ADIRF	ENSG00000148671	10974	Q15847
9606.ENSP00000286621	ADK	ENSG00000156110	132	P55263
9606.ENSP00000278175	ADM	ENSG00000148926	133	P35318
9606.ENSP00000379086	ADM2	ENSG00000128165	79924	Q7Z4H4
9606.ENSP00000393631	ADM5	ENSG00000224420	199800	C9JUS6
9606.ENSP00000342905	ADNP	ENSG00000101126	23394	Q9H2P0
9606.ENSP00000262198	ADNP2	ENSG00000101544	22850	Q6IQ32
9606.ENSP00000362888	ADO	ENSG00000181915	84890	Q96SZ5
9606.ENSP00000308549	ADORA1	ENSG00000163485	134	P30542
9606.ENSP00000336630	ADORA2A	ENSG00000128271	135	P29274
9606.ENSP00000304501	ADORA2B	ENSG00000170425	136	P29275
9606.ENSP00000312250	ADPGK	ENSG00000159322	83440	Q9BRR6
9606.ENSP00000349496	ADPRH	ENSG00000144843	141	P54922
9606.ENSP00000364567	ADPRHL1	ENSG00000153531	113622	Q8NDY3
9606.ENSP00000362273	ADPRHL2	ENSG00000116863	54936	Q9NX46
9606.ENSP00000369099	ADPRM	ENSG00000170222	56985	Q3LIE5
9606.ENSP00000369960	ADRA1A	ENSG00000120907	148	P35348
9606.ENSP00000306662	ADRA1B	ENSG00000170214	147	P35368
9606.ENSP00000368766	ADRA1D	ENSG00000171873	146	P25100
9606.ENSP00000280155	ADRA2A	ENSG00000150594	150	P08913
9606.ENSP00000386069	ADRA2C	ENSG00000184160	152	P18825
9606.ENSP00000358301	ADRB1	ENSG00000043591	153	P08588
9606.ENSP00000305372	ADRB2	ENSG00000169252	154	P07550
9606.ENSP00000343782	ADRB3	ENSG00000188778	155	P13945
9606.ENSP00000253003	ADRM1	ENSG00000130706	11047	Q16186
9606.ENSP00000216194	ADSL	ENSG00000239900	158	P30566
9606.ENSP00000229583	ADTRP	ENSG00000111863	84830	Q96IZ2
9606.ENSP00000223357	AEBP1	ENSG00000106624	165	Q8IUX7
9606.ENSP00000381840	AEBP2	ENSG00000139154	121536	Q6ZN18
9606.ENSP00000331944	AEN	ENSG00000181026	64782	Q8WTP8
9606.ENSP00000371983	AFAP1	ENSG00000196526	60312	Q8N556
9606.ENSP00000296721	AFAP1L1	ENSG00000157510	134265	Q8TED9
9606.ENSP00000303042	AFAP1L2	ENSG00000169129	84632	Q8N4X5
9606.ENSP00000375956	AFDN	ENSG00000130396	4301	P55196
9606.ENSP00000378578	AFF1	ENSG00000172493	4299	P51825
9606.ENSP00000359489	AFF2	ENSG00000155966	2334	P51816
9606.ENSP00000265343	AFF4	ENSG00000072364	27125	Q9UHB7
9606.ENSP00000357973	AFG1L	ENSG00000135537	246269	Q8WV93
9606.ENSP00000269143	AFG3L2	ENSG00000141385	10939	Q9Y4W6
