Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
TNNI2	AMCD2B, DA2B, FSSV	ENSG00000130598	Troponin I2, fast skeletal type	P48788	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TOLLIP	IL-1RAcPIP	ENSG00000078902	Toll interacting protein	Q9H0E2	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TOM1		ENSG00000100284	Target of myb1 membrane trafficking protein	O60784	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TPD52L1	D53, hD53	ENSG00000111907	Tumor protein D52 like 1	Q16890	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TPRN	C9orf75, DFNB79, FLJ90254	ENSG00000176058	Taperin	Q4KMQ1	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRAF7	DKFZp586I021, MGC7807, RFWD1, RNF119	ENSG00000131653	TNF receptor associated factor 7	Q6Q0C0	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRAIP	RNF206, TRIP	ENSG00000183763	TRAF interacting protein	Q9BWF2	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRAPPC13	C5orf44, FLJ13611, FLJ26957, MGC48585	ENSG00000113597	Trafficking protein particle complex 13	A5PLN9	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRDN		ENSG00000186439	Triadin	Q13061	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRIB1	C8FW, GIG2, TRB1	ENSG00000173334	Tribbles pseudokinase 1	Q96RU8	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TRIM16	EBBP	ENSG00000221926	Tripartite motif containing 16	O95361	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRIM16L	TRIM70	ENSG00000108448	Tripartite motif containing 16 like	Q309B1	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
TRIM38	RNF15, RORET	ENSG00000112343	Tripartite motif containing 38	O00635	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRIM4	RNF87	ENSG00000146833	Tripartite motif containing 4	Q9C037	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRIM44	DIPB, MC7	ENSG00000166326	Tripartite motif containing 44	Q96DX7	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRIM54	MURF, MURF-3, RNF30	ENSG00000138100	Tripartite motif containing 54	Q9BYV2	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TRIM71	LIN-41, LIN41	ENSG00000206557	Tripartite motif containing 71	Q2Q1W2	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TRIML2	FLJ25801, SPRYD6	ENSG00000179046	Tripartite motif family like 2	Q8N7C3	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TRIP6	MGC10556, MGC10558, MGC29959, MGC3837, MGC4423, OIP1, ZRP-1	ENSG00000087077	Thyroid hormone receptor interactor 6	Q15654	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRMT1	FLJ20244, TRM1	ENSG00000104907	TRNA methyltransferase 1	Q9NXH9	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRMT10B	bA3J10.9, FLJ31455, RG9MTD3	ENSG00000165275	TRNA methyltransferase 10B	Q6PF06	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TRMT13	CCDC76, FLJ10287, FLJ11219	ENSG00000122435	TRNA methyltransferase 13 homolog	Q9NUP7	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRPM1	CSNB1C, LTRPC1, MLSN1	ENSG00000134160	Transient receptor potential cation channel subfamily M member 1	Q7Z4N2	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRPM4	FLJ20041	ENSG00000130529	Transient receptor potential cation channel subfamily M member 4	Q8TD43	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRPM7	CHAK1, LTRPC7, TRP-PLIK	ENSG00000092439	Transient receptor potential cation channel subfamily M member 7	Q96QT4	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRPV2	VRL, VRL-1, VRL1	ENSG00000187688	Transient receptor potential cation channel subfamily V member 2	Q9Y5S1	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
TRPV3	VRL3	ENSG00000167723	Transient receptor potential cation channel subfamily V member 3	Q8NET8	Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TSG101	TSG10, VPS23	ENSG00000074319	Tumor susceptibility 101	Q99816	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TSHZ3	KIAA1474, TSH3, ZNF537	ENSG00000121297	Teashirt zinc finger homeobox 3	Q63HK5	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level
TTC17	FLJ10890	ENSG00000052841	Tetratricopeptide repeat domain 17	Q96AE7	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TTC23	FLJ12572, HCC-8	ENSG00000103852	Tetratricopeptide repeat domain 23	Q5W5X9	Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TTC7B	TTC7L1	ENSG00000165914	Tetratricopeptide repeat domain 7B	Q86TV6	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
